resultid,user,datetime,SysBenchVer,JuliaVer,OS,CPU,WORD_SIZE,LIBM,LLVM,GPU,FloatMul,FusedMulAdd,FloatSin,VecMulBroad,CPUMatMul,MatMulBroad,3DMulBroad,peakflops,FFMPEGH264Write,DeepCopy,Bandwidth10kB,Bandwidth100kB,Bandwidth1MB,Bandwidth10MB,Bandwidth100MB,DiskWrite1KB,DiskWrite1MB,DiskRead1KB,DiskRead1MB,JuliaLoad,compilecache,success_create_expr_cache,create_expr_cache,output-ji-substart,GPUMatMul,mean_cpu,mean_diskio
res_10,@mcabbott,2020-05-11T08:00:19.0,0.2.0,1.4.0,macOS (x86_64-apple-darwin18.6.0),Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, skylake)",,1.260141093474427,0.02910052910052911,1.2478400394964206,1.506695144475693,2.206176738211208,4.39961632285721,1.5207522081869123,0.4912058205846934,1.6285958382121979,0.9228879110429766,,,,,,3.725866123216805,0.7088327616265169,32.365617674928934,5.114451671246218,3.0348750802175437,1.6394873050215644,,11.776822282318152,,,1.9870089616981328,10.478692057754618
res_11,@mcabbott,2020-05-11T08:00:19.0,0.2.0,1.4.1,macOS (x86_64-apple-darwin18.7.0),Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, skylake)",GeForce GTX 650 Ti,1.0044091710758378,0.021164021164021166,0.8886694643297952,1.2375586611164584,0.9754857356955521,1.0341783177678305,1.2313040174755436,1.4701493416639477,1.3412350048148358,0.7969285783545723,,,,,,3.1474212258974763,2.0485733415067844,4.563961897162236,20.524040902925115,2.100692695303987,1.4095703846533478,,7.8874219069795535,,5.295454604193642,1.0792239263530932,7.570999341872903
res_12,@sairus7,2020-05-10T22:36:46.0,0.2.0,1.4.0,Windows (x86_64-w64-mingw32),Intel(R) Core(TM) i7-8809G CPU @ 3.10GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, skylake)",,1.0590828924162259,0.0008818342151675487,0.913354727227845,1.1435635447788166,2.15704116041321,1.2039251908517474,1.120714217874442,1.0166335959860726,1.3908950382675993,0.8417048444581715,,,,,,102.63676124784449,4.436760096168477,11.715126427609595,1.835762234357066,1.8191719628087037,1.462418987112387,,3.4904465366178816,,,1.0881281146298154,30.156102501494903
res_13,@IanButterworth,2020-05-11T00:02:20.0,0.2.0,1.5.0-DEV.823,Linux (aarch64-linux-gnu),unknown,64,libopenlibm,"libLLVM-9.0.1 (ORCJIT, carmel)",Xavier,0.5361552028218695,0.028218694885361557,1.9649172152349423,1.9082704138357691,4.80270834448429,1.2265037222998525,1.331275524741191,0.07619145589244064,4.322989337942043,2.129190623163554,,,,,,2.5523749804044518,1.8945168316573413,5.692683656675477,4.030892838509965,2.7993031874568035,3.803753915122679,,62.491585078613085,,6.651438673210672,1.3934244157867248,3.542617076811809
res_14,@giordano,2020-05-11T10:06:47.0,0.2.0,1.4.1,Linux (x86_64-pc-linux-gnu),Intel(R) Core(TM) i7-4870HQ CPU @ 2.50GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, haswell)",,1.2134038800705467,0.01234567901234568,1.278696618118983,1.2320290095924096,1.1804849328266338,0.8118797811619259,1.3013581536708139,0.8472463340115022,1.4035121438910776,0.8991316484820288,,,,,,0.9333908136071484,0.9472486337728737,1.4242556480973518,0.8854474626969497,1.316456583163566,1.5364282718892117,,1.1781080071488805,,,1.1674734885229356,1.047585639543581
res_15,@giordano,2020-05-11T10:06:47.0,0.2.0,1.4.1,macOS (x86_64-apple-darwin18.7.0),Intel(R) Core(TM) i7-4870HQ CPU @ 2.50GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, haswell)",,1.2239858906525574,0.027336860670194005,1.2814119970377684,1.845530643519225,1.2253653053578117,1.2079613007128815,1.4637667394814322,0.8200465484241051,1.4949177567977647,0.914340818805205,,,,,,3.4610440507916604,0.3568564602870273,4.943918009076855,7.293961949149596,1.9778335416656372,1.6522355294567865,,8.801045937597163,,,1.404531314280773,4.013945117326285
res_16,@IanButterworth,2020-05-11T00:52:22.0,0.2.0,1.4.1,Linux (aarch64-unknown-linux-gnu),unknown,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, generic)",Xavier,0.5361552028218695,0.028218694885361557,1.245168281122515,1.8884584290591746,4.501311352566504,1.1798072140776354,1.5287301738056793,0.08112942284694208,4.155400006776714,2.138182506242662,,,,,,2.4550870042326385,2.0229041402007715,5.022542516582714,3.3492156794546277,3.2587522788919028,3.9348445392092852,,72.46185269190248,,7.878300109325207,1.2756638601773749,3.212437335117688
res_17,@imciner2,2020-05-11T15:02:53.0,0.2.0,1.4.1,macOS (x86_64-apple-darwin18.7.0),Intel(R) Core(TM) i7-8700B CPU @ 3.20GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, skylake)",,1.052910052910053,0.022927689594356263,0.9318686744013823,1.274179416324055,0.996601188245999,0.6489090990429123,1.2669373476430175,1.4920758750589431,1.16610745164118,0.805590131071928,,,,,,3.6034801693055334,0.46641005073626274,9.470400478779114,5.101554728531181,1.5017153406686066,1.2096283220167463,,8.857829880799798,,,1.034960918064284,4.660461356838023
res_18,@imciner2,2020-05-11T15:02:53.0,0.2.0,1.4.1,macOS (x86_64-apple-darwin18.7.0),Intel(R) Core(TM) i7-8700B CPU @ 3.20GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, skylake)",,0.9850088183421518,0.022045855379188718,0.8716366329301408,1.1939311685132181,0.9751110635336937,0.592068040851879,1.2230712690003183,1.4794062895362234,1.205141055465511,0.7598380222215482,,,,,,3.3660448346135756,0.7542839969914744,9.577452496134857,5.363403012069146,1.8860963796292178,1.3721474577398276,,10.523712541632836,,,0.9731431859275416,4.765296084952263
res_19,@imciner2,2020-05-11T15:02:53.0,0.2.0,1.4.1,Windows (x86_64-w64-mingw32),Intel(R) Core(TM) i7-8700B CPU @ 3.20GHz,64,libopenlibm,"libLLVM-8.0.1 (ORCJIT, skylake)",,1.0590828924162259,0.0008818342151675487,0.8390520859047149,1.1266968258292764,9.168816571214473,0.8496850058025247,0.9872482516958175,1.0800588386183445,1.2295754529709453,0.8058348281951803,,,,,,72.32478444897319,2.9945057453274377,9.410852326567253,1.1832562345657542,1.8133902500481718,1.4311456194568877,,2.9390712270977466,,,0.9723530123297118,21.478349688858412
